actual.vars,Group_Base_Media_Price,Group_Base_MediaBreakDown_Price,Group_BaseBreakDown_MediaBreakDown_Price,Group_Modeller,Group_StackedBar,group,ref_points,agg_method,variable_display,isforecastable,brand/category_a,product/category_b,channel/category_c,platform/category_d,proposition/category_e,creative/category_f
kpi_ts_tx,Base,Base,Total Sales,Total Sales,Total Sales,Total Sales,none,Sum,KPI,yes,na,na,na,na,na,na
kpi_ss_tx_na,Base,Base,Store Sales,Store Sales,Store Sales,Store Sales,none,Sum,KPI,yes,na,na,na,na,na,na
kpi_ss_tx,Base,Base,Store Sales,Store Sales,Store Sales,Store Sales,none,Sum,KPI,yes,na,na,na,na,na,na
kpi_ws_tx,Base,Base,Web Sales,Web Sales,Web Sales,Web Sales,none,Sum,KPI,yes,na,na,na,na,na,na
kpi_wv_tx,Base,Base,Web Visits ,Web Visits ,Web Visits ,Web Visits ,min,Sum,KPI,yes,na,na,na,na,na,na
m_adtvv_cov_im,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_cov_sp,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_post_im,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_post_sp,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_pre_im,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_pre_sp,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_tot_im,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_adtvv_tot_sp,Media,Addressable TV,Addressable TV,Addressable TV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_cov_ad,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_cov_sp,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_post_ad,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_post_sp,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_pre_ad,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_pre_sp,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_tot_ad,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_cin_tot_sp,Media,Cinema,Cinema,Cinema,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_15s_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_15s_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_30s_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_30s_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_cov_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_cov_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_post_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_post_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_pre_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_pre_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_tot_im,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_tot_sp,Media,CTV,CTV,CTV,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_dig_cov_im,Media,CTV Digital,CTV Digital,CTV Digital,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_dig_cov_sp,Media,CTV Digital,CTV Digital,CTV Digital,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_dig_post_im,Media,CTV Digital,CTV Digital,CTV Digital,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
m_ctv_dig_post_sp,Media,CTV Digital,CTV Digital,CTV Digital,Media,Media,none,Sum,Media,yes,na,na,na,na,na,na
