fy_18,,"74,558,506","96,267","520,740",0,"1,433,199","1,094,758","5,365,496","7,955,459","335,464",0,"2,732,697","228,259",0,"65,250",0,"29,772",0,"2,389,422","1,026,193","418,158","1,808,527","4,506,243",0,"5,219,565","2,324,983","2,035,400",0,"1,621,505",0,0,0,0,0,0,"8,263,457","200,185","278,380",0,0,0,0,0,"10,191",0,0,0,"7,738,080","10,691,471",0,0,"17,011,090",0,"2,517,762",0,0,0,"1,437,667","25,419","1,150",,fy_18,"  163,940,716","  166,503,793",,,fy_18,"12,165,898","8,263,457","74,558,506","478,566",0,"7,738,080","40,979,098","17,011,090","228,259",0,0,"2,517,762"
fy_19,,"177,428,730","191,023","1,441,820",0,"1,246,508","2,709,816","13,802,311","20,010,117","2,273,591",0,"4,175,860","369,571","130,811","101,771",0,"103,832","1,136,814","5,017,940","1,746,534","1,064,832","4,407,578","10,066,967",0,"16,916,390","3,493,246","3,802,101",0,"3,725,183","2,481","-6,715","-5,292","150,107","155,813","171,648","21,691,951","465,827","731,116",0,"-45,188","-54,882","-23,447",0,"18,428","33,055","243,221","1,618,172","18,956,956","26,474,120","-4,498","276,238","42,025,850",-245,"7,691,322",0,"10,064",0,"1,825,695","78,970","53,059",,fy_19,"  397,897,173","  396,510,925",,,fy_19,"29,342,567","21,691,951","177,428,730","1,196,943",0,"18,956,956","97,434,234","42,025,850","500,382","10,064","1,618,172","7,691,322"
fy_20,,"164,602,372","313,965","1,061,221","2,580,570",994,"1,189,457","11,438,271","18,967,055","1,049,219","5,953,333","2,255,250","629,593","167,360","48,112",0,"257,055","869,080","295,741","223,163","1,284,455","4,167,421","5,940,984","1,070,134","6,390,526","961,250","4,105,933",0,"3,234,292","24,630","1,985",0,0,"185,973",0,"17,925,821","589,970","1,322,838","2,043,536",0,0,0,"63,482",0,"54,544","107,271","2,399,008","19,813,005","21,382,943","1,330","330,371","35,555,414","9,260","13,457,944",0,0,"743,096","2,092,606","111,797","89,731",,fy_20,"  357,363,362","  354,861,181",,,fy_20,"24,455,923","17,925,821","164,602,372","1,912,808","2,043,536","19,813,005","73,657,482","35,555,414","796,952","743,096","2,399,008","13,457,944"
fy_21,,"188,139,569","34,132","1,897,694","90,175",0,"1,838,446","12,607,660","24,730,670","232,581","21,777,103",0,"468,856","172,061","213,519","762,434","89,949","1,736,813","4,024,082","27,360","1,396,777","5,278,597","10,804,957","959,651","7,031,500","853,331","4,440,792","916,981","4,968,669","22,397","2,349","12,869","191,556","177,075","210,945","20,073,529","635,740","1,207,373","77,314",0,0,0,0,"52,832","84,892","278,089","2,793,302","27,567,026","25,455,884","1,573","347,160","33,599,163","15,024","19,443,145","-564,277","39,652","646,514","1,979,896","151,743","89,254",,fy_21,"  430,086,378","  431,407,861",,,fy_21,"28,509,261","20,073,529","188,139,569","1,843,113","77,314","27,567,026","106,713,873","33,599,163","640,916","686,166","2,793,302","19,443,145"
,,"604,729,178","    635,387","  4,921,475","  2,670,745","  2,680,702","  6,832,477"," 43,213,738"," 71,663,301","  3,890,855"," 27,730,435","  9,163,807","  1,696,278","    470,232","    428,652","    762,434","    480,609","  3,742,708"," 11,727,184","  3,023,251","  4,164,222"," 15,662,123"," 31,319,151","  2,029,784"," 35,557,982","  7,632,810"," 14,384,226","    916,981"," 13,549,649","     49,508","     -2,381","      7,577","    341,663","    518,861","    382,594"," 67,954,758","  1,891,722","  3,539,709","  2,120,851","    -45,188","    -54,882","    -23,447","     63,482","     81,451","    172,491","    628,581","  6,810,482"," 74,075,066"," 84,004,418","     -1,595","    953,769","128,191,517","     24,039"," 43,110,174","   -564,277","     49,717","  1,389,610","  7,335,864","    367,929","    233,194",,Total,"1,349,287,629","1,349,283,760",,,,"94,473,650","67,954,758","604,729,178","5,431,431","2,120,851","74,075,066","318,784,687","128,191,517","2,166,510","1,439,326","6,810,482","43,110,174"
,,44.82%,0.05%,0.36%,0.2%,0.2%,0.51%,3.2%,5.31%,0.29%,2.06%,0.68%,0.13%,0.03%,0.03%,0.06%,0.04%,0.28%,0.87%,0.22%,0.31%,1.16%,2.32%,0.15%,2.64%,0.57%,1.07%,0.07%,1%,0%,0%,0%,0.03%,0.04%,0.03%,5.04%,0.14%,0.26%,0.16%,0%,0%,0%,0%,0.01%,0.01%,0.05%,0.5%,5.49%,6.23%,0%,0.07%,9.5%,0%,3.2%,-0.04%,0%,0.1%,0.54%,0.03%,0.02%,,,,,,,,7%,5.04%,44.82%,0.4%,0.16%,5.49%,23.63%,9.5%,0.16%,0.11%,0.5%,3.2%
,,Brand Watch Earn,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,PR,PR,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Base,Base,Base,Base,Base,Base,Brand,Competitor,Competitor,COVID,Base,Base,Base,Base,Base,Base,Base,Store Open,Google Trends,Base,Base,Base,OSA,Base,Web Visits,Base,Promotions,Promotions,Base,Base,Base,,,KPI,KPI,,,,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
,,Base,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Base,Base,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Media,Base,Base,Base,Base,Base,Base,Brand,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Promotions,Promotions,Base,Base,Base,,,KPI,KPI,,,,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
fy,date,atan(bw_earn_reach/1200000),atan(fam_dm_vol/1240000),atan(fam_eml_tot_opn30/710000),"atan(lag(m_adtvv_tot_im70, 1)/900000)","atan(lag(m_cat_tot_vo15, 1)/30000)","atan(lag(m_eml_tot_im, 1)/900000)","atan(lag(m_fbk_tot_im60, 1)/1600000)","atan(lag(m_pint_tot_im60, 1)/1200000)","atan(lag(m_rchmed_tot_im, 1)/86000000)","atan(lag(m_tvv_post_egrp60, 2)/10)","atan(lag(m_tvv_pre_egrp50, 1)/150)","atan(lag(pr_infl_im, 1)/200000)","atan(lag(pr_tot_im, 2)/9000000000)",atan(m_cstcon_tot_im/9000000),atan(m_ctv_dig_tot_im50/440000),atan(m_ctv_tot_im/4500000),atan(m_digaud_tot_im/10000000),atan(m_mag_tot_sp/250000),atan(m_ooh_tot_im/10000000),atan(m_ppc_bra_im/500000),atan(m_ppc_fbased_im/200000),atan(m_ppc_gen_im/200000),atan(m_snap_tot_im/1500000),atan(m_spotrad_tot_egrp60/300),atan(m_spttvv_tot_egrp20/150),atan(m_stddsp_tot_im15/28000000),atan(m_tik_tot_im60/170000),atan(m_vid_tot_im10/6000000),bh_blkfri,bh_cybrmon,bh_eastmon,bh_gdfri,bh_laborday,bh_stpatsday,bm_tru_pc_3mav,c_bm_bbb_awatocons_pc,c_gt_way_ratio,cov_sto_open_tx_80dec,d_20181202,d_20181209,d_20190203,d_20200531,d_apr,d_jan,d_mar,d_stropn_570,gt_livroom,intercept,"lag(bh_thnksgiv, 1)","lag(bh_xms, 1)","lag(osa_reg_tx, 1)","lead(bh_thnksgiv, 1)",log(kpi_wv_tx),nat_dis_wint_st_tx,pro_fameve_d,pro_spcactvty_d,sh_tot,ww_prcp_tot,ww_snw_lta,,date,fitted,actual,,date,fy,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
fy_18,2018-04-08,3169615.02967794,3078.56676245695,20836.3373053641,0,0,0,269234.75523492,398684.122504116,20061.1512338314,0,7282.328560838,1472.16013333979,0,1601.79825981076,0,1406.84711172016,0,176713.843222606,0,18025.7773119104,76002.8476373185,190927.113845425,0,160426.924310941,127427.855251912,137299.36979613,0,73851.8445393058,0,0,0,0,0,0,377567.903291784,2632.89902364177,4892.60690702167,0,0,0,0,0,3420.77322031692,0,0,0,329683.416167125,509117.683525805,0,0,713220.602168364,0,73561.9237438635,0,0,0,0,78.616200582023,586.806703715844,,2018-04-08,6868711.9036521,7200566,,2018-04-08,fy_18,513203.87965042,377567.903291784,3169615.02967794,7525.50593066344,0,329683.416167125,1682861.4828886,713220.602168364,1472.16013333979,0,0,73561.9237438635
