fy_18,,0,42012050.8827923,19317307.4632967,2767648.34874564,1390309.30466269,-2889885.50375803,0,30126.1362669858,0,65262.6097684078,0,5585237.76136971,99220.107945098,551932.213555037,18096795.1640156,2658471.54915709,-149172.780982636,2818052.05869926,0,1026193.20164774,39686410.8529091,434363.157610367,1879037.4214258,4688992.67572816,8443259.73442241,511577.485396805,0,1192149.80936393,352403.566420576,3189345.09375027,-315099.731816209,0,5462958.79746583,2369336.27719584,2174893.8872908,0,0,1701255.25879053,-182388.14566225,5780646.95569589,,fy_18,"  170,748,692","  174,008,083",,,fy_18,"44,554,735","19,317,307","2,767,648","-2,889,886",0,"18,096,795","42,923,456","39,686,411","511,577",0,0,"5,780,647"
fy_19,,0,99301211.177509,47810474.2649502,4147653.54924205,1270144.02639461,-8832816.91566781,0,103832.446111885,0,101770.904676473,1136814.46762572,13631095.091098,191022.809899203,1441819.8151045,41753753.2230486,5017939.87859592,951254.521522804,4224608.7613259,0,1746533.67682829,92665754.6801263,1064831.83024291,4407577.79804257,10066966.6689559,19560906.1166839,1095498.00764548,21964.6117765383,2709815.78646797,2273591.08735778,3957236.79982018,-1351393.15063609,0,16788549.6489091,3511823.60406796,3775950.80521518,3532030.35870043,0,3710501.25172366,-1394419.46281175,16804737.7138728,,fy_19,"  397,199,036","  396,510,925",,,fy_19,"101,463,890","47,810,474","4,147,654","-8,832,817",0,"41,753,753","96,736,096","92,665,755","1,095,498","21,965","3,532,030","16,804,738"
fy_20,,2370588.416245,80204824.4126034,38736646.8568552,4990883.38766176,20248.3572968086,-5358571.86938127,4224824.79950717,257055.043579675,0,48111.5540597838,869080.387957246,11529760.9115086,313964.918411624,1061221.21586357,42678678.234429,295740.873499498,642257.768676678,7481168.13599936,0,223163.352767223,76993572.7091359,1284455.05287703,4167420.9163326,5940984.12273665,19010693.9262367,1719431.64928061,1606350.37954578,1189457.2116279,1049219.30616444,4396698.46741631,-222136.277327855,1070133.72372521,7175936.28934088,959914.306741122,4117656.94668126,5185008.24204133,0,3242535.87944708,-765782.450768854,28673193.5592226,,fy_20,"  357,384,391","  354,861,181",,,fy_20,"84,255,862","38,736,647","4,990,883","-5,358,572","4,224,825","42,678,678","73,678,511","76,993,573","1,719,432","1,606,350","5,185,008","28,673,194"
fy_21,,300156.718086874,95481933.8245279,43731378.745716,3815023.72990799,0,-6165331.35861688,171060.879225983,89949.0977475561,740443.92633663,213519.109974338,1736812.7764597,12562170.7596718,34132.2262173368,1897693.96837264,60016800.1063438,4024081.86556017,1377794.38333994,21714596.2202562,-2905331.3992876,27360.3953000179,73215331.033331,1396777.44721286,5278597.31812758,10804957.3287928,24864210.4141759,1397514.65978901,1489633.83526055,1838445.93468183,232580.739089474,4276825.41810864,114296.630299513,959650.567366619,6614213.99046002,856142.667297238,4419553.50414561,6089593.1805016,899233.67527827,4956977.92430084,-978319.100227544,42244300.8937131,,fy_21,"  429,834,764","  431,407,861",,,fy_21,"97,367,200","43,731,379","3,815,024","-6,165,331","171,061","60,016,800","106,462,259","73,215,331","1,397,515","1,489,634","6,089,593","42,244,301"
Total,,2670745.13433187,317000020.297433,149595807.330818,15721209.0155574,2680701.68835411,-23246605.647424,4395885.67873315,480962.723706102,740443.92633663,428664.178479002,3742707.63204267,43308264.5236481,638340.062473262,4952667.21289575,162546026.727837,11996234.1668127,2822133.89255679,36238425.1762808,-2905331.3992876,3023250.62654327,282561069.275502,4180427.48794317,15732633.4539286,31501900.7962135,71879070.1915189,4724021.80211191,3117948.82658286,6929868.74214162,3907794.69903227,15820105.7790954,-1774332.52948065,2029784.29109183,36041658.7261758,7697216.85530216,14488055.1433329,14806631.7812434,899233.67527827,13611270.3142621,-3320909.1594704,93502879.1225044,,Total,"1,355,166,882","1,356,788,050",,,,"327,641,687","149,595,807","15,721,209","-23,246,606","4,395,886","162,546,027","319,800,321","282,561,069","4,724,022","3,117,949","14,806,632","93,502,879"
% Contri,,0.2%,23.39%,11.04%,1.16%,0.2%,-1.72%,0.32%,0.04%,0.05%,0.03%,0.28%,3.2%,0.05%,0.37%,11.99%,0.89%,0.21%,2.67%,-0.21%,0.22%,20.85%,0.31%,1.16%,2.32%,5.3%,0.35%,0.23%,0.51%,0.29%,1.17%,-0.13%,0.15%,2.66%,0.57%,1.07%,1.09%,0.07%,1%,-0.25%,6.9%,,,,,,,,24.18%,11.04%,1.16%,-1.72%,0.32%,11.99%,23.6%,20.85%,0.35%,0.23%,1.09%,6.9%
Group Modeller,,Media,Base,Brand,Brand Watch Earn,Media,Competitor,COVID,Media,Media,Media,Media,Media,Media,Media,Google Trends,Media,Base,Media,Base,Media,OSA,Media,Media,Media,Media,PR,Promotions,Media,Media,Base,Base,Media,Media,Media,Media,Store Open,Media,Media,Base,Web Visits,,,KPI,KPI,,,,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
Group_Base_Media_Brand,,Media,Base,Brand,Base,Media,Base,Base,Media,Media,Media,Media,Media,Media,Media,Base,Media,Base,Media,Base,Media,Base,Media,Media,Media,Media,Base,Promotions,Media,Media,Base,Base,Media,Media,Media,Media,Base,Media,Media,Base,Base,,,KPI,KPI,,,,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
fy,date,Addressable TV,Base,Brand,Brand Watch Earn,Catalog,Competitor,Covid Store Re-opening,CTV,CTV Digital,Custom Content,Digital Audio,Facebook,Family DM,Family Email,Google Trends,Magazine,National Holidays,National TV,Natural Disaster,OOH,OSA,Paid Search Brand,Paid Search Feed Based,Paid Search Generic,Pinterest,PR,Promotions,Prospecting Emails,Rich Media,School Holidays,Seasonality,Snapchat,Spot Radio,Spot TV,Standard Display,Store Open,Tiktok,Video,Weather,Web Visits,,date,fitted,actual,,date,fy,Base,Brand,Brand Watch Earn,Competitor,COVID,Google Trends,Media,OSA,PR,Promotions,Store Open,Web Visits
fy_18,2018-04-01,0,"1,909,639","797,405","107,475",0,"-165,408",0,354,0,12,0,"237,739","2,953","31,192","758,867","269,050","-149,173","96,043",0,0,"1,544,196","16,205","70,511","182,750","370,696",431,0,"97,391","16,940",0,"-80,946",0,"360,386","51,526","119,838",0,0,"72,764","-19,319","160,452",,2018-04-01,6859968.75017263,7504289.92,,2018-04-01,fy_18,1660200.95968556,797404.998395725,107474.511859733,-165408.184835092,0,758867.339869767,1996350.60230144,1544196.10744065,430.683345518778,0,0,160451.732109332
