date,gt_ama,gt_ama_bedroom,gt_ama_furn,gt_ama_matt,gt_ama_offch,gt_ama_table,gt_ama_wardrobe,gt_ash,c_gt_bbb,gt_tar,gt_wal,gt_way,gt_ama_furn_ratio,gt_ama_offch_ratio,gt_ama_table_ratio,gt_ama_ratio,gt_ama_bedroom_ratio,gt_ama_matt_ratio,gt_ama_wardrobe_ratio,gt_ash_ratio,gt_bbb_ratio,gt_tar_ratio,gt_wal_ratio,gt_way_ratio,gt_c_tot_ratio,gt_rooms_mi,gt_nebra_tx
07/01/2018,68,62,44,0,20,63,6,52,74,45,46,21,0.6875,0.666666667,0.768292683,1.014925373,0.849315068,0,0.545454545,0.776119403,1.104477612,0.671641791,0.686567164,0.313432836,4.567164179,67,49
14/01/2018,66,48,51,0,14,57,4,66,70,43,44,21,0.772727273,0.518518519,0.678571429,1.03125,0.631578947,0,0.363636364,1.03125,1.09375,0.671875,0.6875,0.328125,4.84375,62,44
21/01/2018,64,47,44,96,27,50,5,77,65,41,42,20,0.709677419,0.964285714,0.568181818,1.084745763,0.652777778,1.627118644,0.5,1.305084746,1.101694915,0.694915254,0.711864407,0.338983051,5.237288136,61,34
28/01/2018,62,38,51,0,13,49,4,69,73,42,43,20,0.772727273,0.448275862,0.563218391,1,0.535211268,0,0.307692308,1.112903226,1.177419355,0.677419355,0.693548387,0.322580645,4.983870968,58,43
04/02/2018,63,23,36,0,7,45,7,53,69,41,43,19,0.571428571,0.25,0.535714286,1.145454545,0.315068493,0,0.291666667,0.963636364,1.254545455,0.745454545,0.781818182,0.345454545,5.236363636,62,38
11/02/2018,58,52,53,0,17,55,3,77,68,42,42,20,0.803030303,0.607142857,0.654761905,1.035714286,0.776119403,0,0.136363636,1.375,1.214285714,0.75,0.75,0.357142857,5.482142857,65,42
18/02/2018,58,33,71,97,17,56,5,95,72,43,45,21,0.946666667,0.53125,0.666666667,0.90625,0.423076923,1.25974026,0.05,1.484375,1.125,0.671875,0.703125,0.328125,5.21875,69,43
25/02/2018,62,46,66,94,10,64,6,80,76,44,45,21,0.956521739,0.357142857,0.735632184,1.033333333,0.613333333,1.342857143,0.461538462,1.333333333,1.266666667,0.733333333,0.75,0.35,5.466666667,65,40
04/03/2018,62,42,51,48,10,59,2,60,80,44,46,20,0.739130435,0.37037037,0.686046512,1.016393443,0.567567568,0.685714286,0.166666667,0.983606557,1.31147541,0.721311475,0.754098361,0.327868852,5.114754098,49,43
11/03/2018,59,49,45,48,7,57,2,41,78,43,44,19,0.671641791,0.28,0.703703704,0.967213115,0.680555556,0.761904762,0.166666667,0.672131148,1.278688525,0.704918033,0.721311475,0.31147541,4.655737705,53,50
